# Which photograph stands for which food, and where it came from.
#
# Written by tool/fetch_food_media.mjs, consumed by tool/sync_food_media.sh. Checked in so the
# catalogue looks the same for everyone and so provenance is reviewable without running
# anything — every row is a cc0 or public-domain-mark image from Openverse.
#
# Editing a row by hand is fine and is how a bad automatic pick gets fixed; the fetcher leaves
# existing rows alone unless run with --force.
#
# id	food	licence	creator	image url	source page
f0044	Pork tenderloin	by-sa-2.0	TheGirlsNY	https://live.staticflickr.com/4112/5002343239_d287b32e96_b.jpg	https://www.flickr.com/photos/55768440@N00/5002343239
f0045	Rabbit	by-2.0	KevinJump	https://live.staticflickr.com/2118/2425318471_2f36defac7_b.jpg	https://www.flickr.com/photos/84199233@N00/2425318471
f0046	Salmon, Atlantic	by-2.0	Maggiejumps	https://live.staticflickr.com/191/508008589_b74ac84eae_b.jpg	https://www.flickr.com/photos/38494596@N00/508008589
f0047	Salmon, wild	by-2.0	Maggiejumps	https://live.staticflickr.com/191/508008589_b74ac84eae_b.jpg	https://www.flickr.com/photos/38494596@N00/508008589
f0048	Sardines	by-2.0	Andrea_Nguyen	https://live.staticflickr.com/5309/5741616162_0f4487467b.jpg	https://www.flickr.com/photos/41993463@N08/5741616162
f0049	Scallops	by-2.0	In Memoriam: chrisbulle	https://live.staticflickr.com/173/382542961_3b6979984e_b.jpg	https://www.flickr.com/photos/67726656@N00/382542961
f0050	Sea bass	by-sa-3.0	No machine-readable author provided. Vineyard assumed (based on copyright claims).	https://upload.wikimedia.org/wikipedia/commons/7/79/Sea_Bass_%28side%29.jpg	https://commons.wikimedia.org/w/index.php?curid=1480643
f0051	Shrimp	by-2.0	Elias Levy	https://live.staticflickr.com/2912/14487441293_89471a45d2_b.jpg	https://www.flickr.com/photos/67374204@N00/14487441293
f0052	Soybeans	by-2.0	UnitedSoybeanBoard	https://live.staticflickr.com/2837/9624274400_614e1c249d_b.jpg	https://www.flickr.com/photos/95352257@N06/9624274400
f0053	Split peas	cc0-1.0	Mx. Granger	https://upload.wikimedia.org/wikipedia/commons/8/85/Pea_protein_milk_with_yellow_split_peas.jpg	https://commons.wikimedia.org/w/index.php?curid=92653051
f0054	Squid	by-sa-2.0	avlxyz	https://live.staticflickr.com/4/8755794_b4b2c5e76f_b.jpg	https://www.flickr.com/photos/10559879@N00/8755794
f0055	Swordfish	by-sa-3.0	User:Postdlf	https://upload.wikimedia.org/wikipedia/commons/6/6f/Swordfish_skeleton.jpg	https://commons.wikimedia.org/w/index.php?curid=1067477
f0056	Tempeh	by-sa-3.0	unknown	https://upload.wikimedia.org/wikipedia/commons/6/6b/Tempeh_uncooked.jpg	https://commons.wikimedia.org/w/index.php?curid=58076
f0057	Tilapia	by-sa-2.0	Alexandra Tyers	https://upload.wikimedia.org/wikipedia/commons/b/b8/Tilapia_sparrmanii.jpg	https://commons.wikimedia.org/w/index.php?curid=16953387
f0058	Tofu, firm	by-2.0	KFoodaddict	https://live.staticflickr.com/2882/9933979106_22ce4bfd44_b.jpg	https://www.flickr.com/photos/61056459@N05/9933979106
f0059	Trout	by-2.0	03Marine	https://live.staticflickr.com/8242/8470408081_6686e09f62_b.jpg	https://www.flickr.com/photos/13863233@N05/8470408081
f0060	Tuna, bluefin	pdm-1.0	motazabdelazeem صور من الوطن	https://live.staticflickr.com/1689/26092663633_13c03037b1_b.jpg	https://www.flickr.com/photos/91352576@N06/26092663633
f0061	Tuna, canned in water	pdm-1.0	motazabdelazeem صور من الوطن	https://live.staticflickr.com/1689/26092663633_13c03037b1_b.jpg	https://www.flickr.com/photos/91352576@N06/26092663633
f0062	Turkey breast	by-2.0	MrPollard	https://live.staticflickr.com/7087/7007288422_26bea585cc_b.jpg	https://www.flickr.com/photos/77895954@N06/7007288422
f0063	Veal	by-sa-2.0	Jeff Kubina	https://upload.wikimedia.org/wikipedia/commons/4/4a/Veal_meat%2C_2010.jpg	https://commons.wikimedia.org/w/index.php?curid=59137824
f0064	Venison	by-2.0	_ Kripptic	https://upload.wikimedia.org/wikipedia/commons/0/06/Venison_jerky.jpg	https://commons.wikimedia.org/w/index.php?curid=35564241
f0065	White beans	by-sa-3.0	Rasbak	https://upload.wikimedia.org/wikipedia/commons/9/93/Phaseolus_vulgaris_white_beans%2C_witte_boon.jpg	https://commons.wikimedia.org/w/index.php?curid=8046278
f0066	Brie	by-sa-3.0	Coyau	https://upload.wikimedia.org/wikipedia/commons/8/88/Brie_01.jpg	https://commons.wikimedia.org/w/index.php?curid=35669387
f0067	Cheddar	by-sa-2.0	ginnerobot	https://live.staticflickr.com/3564/3807874020_6422e4fe29_b.jpg	https://www.flickr.com/photos/78011127@N00/3807874020
f0068	Cottage cheese	by-sa-3.0	Shadle	https://upload.wikimedia.org/wikipedia/commons/8/82/Cottage_Cheese_homemade.jpg	https://commons.wikimedia.org/w/index.php?curid=4136997
f0069	Cream cheese	by-2.0	Chocolate-Dessert-Recipes.com	https://live.staticflickr.com/6210/6064853788_42b7cd7f5d_b.jpg	https://www.flickr.com/photos/66677611@N08/6064853788
f0070	Egg white	by-sa-3.0	Douglas P Perkins	https://upload.wikimedia.org/wikipedia/commons/d/d3/Bowl_of_egg_whites.jpg	https://commons.wikimedia.org/w/index.php?curid=17508786
f0071	Egg yolk	by-sa-3.0	unknown	https://upload.wikimedia.org/wikipedia/commons/b/bc/3_egg_yolks.jpg	https://commons.wikimedia.org/w/index.php?curid=215316
f0072	Egg, whole	by-sa-2.0	kjetil_r	https://live.staticflickr.com/6134/5930958714_c7923b027c_b.jpg	https://www.flickr.com/photos/63564816@N00/5930958714
f0073	Feta	by-sa-2.5	JJ Harrison (https://www.jjharrison.com.au/)	https://upload.wikimedia.org/wikipedia/commons/2/28/Feta_Cheese.jpg	https://commons.wikimedia.org/w/index.php?curid=5767814
f0074	Gouda	by-2.0	cherdt	https://live.staticflickr.com/3040/2971687043_f6b32c84b2_b.jpg	https://www.flickr.com/photos/63827659@N00/2971687043
f0075	Greek yogurt, plain	by-2.0	Mindy Hertzon	https://live.staticflickr.com/8321/8047141427_e0a0765a63_b.jpg	https://www.flickr.com/photos/47898188@N00/8047141427
f0076	Heavy cream	by-sa-3.0	Aleksey Pogrebnoj-Alexandroff	https://upload.wikimedia.org/wikipedia/commons/e/ec/Milk_heavy_cream_B.jpg	https://commons.wikimedia.org/w/index.php?curid=61886767
f0077	Kefir	by-sa-3.0	Leonid Dzhepko	https://upload.wikimedia.org/wikipedia/commons/5/52/Kefir-okroshka.jpg	https://commons.wikimedia.org/w/index.php?curid=2343377
f0078	Milk, 2%	by-sa-2.0	stu_spivack	https://live.staticflickr.com/5/10439635_71e3b0840c_b.jpg	https://www.flickr.com/photos/35034346243@N01/10439635
f0079	Milk, skim	by-sa-2.0	stu_spivack	https://live.staticflickr.com/5/10439635_71e3b0840c_b.jpg	https://www.flickr.com/photos/35034346243@N01/10439635
f0080	Milk, whole	by-sa-2.0	stu_spivack	https://live.staticflickr.com/5/10439635_71e3b0840c_b.jpg	https://www.flickr.com/photos/35034346243@N01/10439635
f0081	Mozzarella	by-sa-2.0	paPisc	https://live.staticflickr.com/2390/2439148656_a154b25741.jpg	https://www.flickr.com/photos/20912428@N04/2439148656
f0082	Parmesan	by-sa-2.0	Migle Seikyte	https://live.staticflickr.com/7248/7515840114_c163ccc29a_b.jpg	https://www.flickr.com/photos/69668444@N03/7515840114
f0083	Ricotta	by-sa-2.0	stu_spivack	https://live.staticflickr.com/2483/3630102713_b72a86a8a3_b.jpg	https://www.flickr.com/photos/35034346243@N01/3630102713
f0084	Sour cream	by-sa-2.5	me (w:User:pfctdayelise)	https://upload.wikimedia.org/wikipedia/commons/5/5d/Chocolate_Sour-Cream_Icing_on_cake.JPG	https://commons.wikimedia.org/w/index.php?curid=732282
f0085	Swiss cheese	by-2.0	Filter Forge	https://live.staticflickr.com/8541/8694650779_c232f461c2.jpg	https://www.flickr.com/photos/93421824@N06/8694650779
f0086	Yogurt, plain	by-sa-2.0	jess2284	https://live.staticflickr.com/94/274772850_cefedc95ab_b.jpg	https://www.flickr.com/photos/49744078@N00/274772850
f0087	Bagel	by-2.0	Nostepinne	https://live.staticflickr.com/4063/4439097618_d020ebcccd_b.jpg	https://www.flickr.com/photos/50303569@N00/4439097618
f0088	Barley	by-2.0	Johan Neven from Borgloon-Gotem, Belgium	https://upload.wikimedia.org/wikipedia/commons/e/ee/Barley_%2818889050150%29.jpg	https://commons.wikimedia.org/w/index.php?curid=78807315
f0089	Brown rice	by-sa-3.0	unknown	https://upload.wikimedia.org/wikipedia/commons/e/e7/Brown_rice.jpg	https://commons.wikimedia.org/w/index.php?curid=674165
f0090	Buckwheat	by-sa-4.0	V.Boldychev	https://upload.wikimedia.org/wikipedia/commons/3/3c/Boiled_buckwheat_groats.jpg	https://commons.wikimedia.org/w/index.php?curid=121627816
f0091	Bulgur	by-3.0	Marknesbitt	https://upload.wikimedia.org/wikipedia/commons/a/a1/Bulgur_turkey_nesbitt.jpg	https://commons.wikimedia.org/w/index.php?curid=5592451
f0092	Cassava	by-sa-2.0	CIAT International Center for Tropical Agriculture	https://live.staticflickr.com/2583/3945624614_d5878dd2b5_b.jpg	https://www.flickr.com/photos/38476503@N08/3945624614
f0093	Corn tortilla	by-sa-2.0	Vancouver Bites!	https://live.staticflickr.com/1279/4676102350_db72f8ff3d_b.jpg	https://www.flickr.com/photos/92945296@N00/4676102350
f0094	Cornmeal	by-3.0	Georgian Recipes at Georgia About ; colour processing by Off-shell	https://upload.wikimedia.org/wikipedia/commons/0/08/Elarji_-_cornmeal_and_sulguni_cheese.jpg	https://commons.wikimedia.org/w/index.php?curid=38152614
f0095	Couscous	by-sa-3.0	Rainer Zenz	https://upload.wikimedia.org/wikipedia/commons/a/a4/Couscous-1.jpg	https://commons.wikimedia.org/w/index.php?curid=688913
f0096	Egg noodles	by-sa-2.0	bryan...	https://upload.wikimedia.org/wikipedia/commons/a/a3/Taiwanese_Nabeyaki_egg_noodles_20181103.jpg	https://commons.wikimedia.org/w/index.php?curid=187592252
f0097	English muffin	by-2.0	jeffreyw	https://upload.wikimedia.org/wikipedia/commons/f/f7/Mmm...English_muffins_%285393409247%29.jpg	https://commons.wikimedia.org/w/index.php?curid=23101816
f0098	Flour tortilla	cc0-1.0	Ocdp	https://upload.wikimedia.org/wikipedia/commons/a/aa/Flour_Tortillas_001.jpg	https://commons.wikimedia.org/w/index.php?curid=158786739
f0099	Jasmine rice	by-sa-3.0	Takeaway	https://upload.wikimedia.org/wikipedia/commons/4/4b/Thai_jasmine_rice_uncooked.jpg	https://commons.wikimedia.org/w/index.php?curid=19885845
f0100	Millet	by-sa-3.0	Offlineinternet	https://upload.wikimedia.org/wikipedia/commons/2/28/Millet.jpg	https://commons.wikimedia.org/w/index.php?curid=5467428
f0101	Oatmeal	by-2.0	DeSegura89	https://live.staticflickr.com/8373/8483070607_a74ecc1521_b.jpg	https://www.flickr.com/photos/77568040@N08/8483070607
f0102	Oats	by-sa-2.0	wallygrom	https://live.staticflickr.com/3462/3795036589_5556372f50.jpg	https://www.flickr.com/photos/33037982@N04/3795036589
f0103	Pasta	by-2.0	Christian Cable	https://live.staticflickr.com/4089/4982450749_18aa8389a9_b.jpg	https://www.flickr.com/photos/67287915@N00/4982450749
f0104	Pita bread	by-2.0	jimmiehomeschoolmom	https://live.staticflickr.com/3539/3322046763_758efb740a.jpg	https://www.flickr.com/photos/94168846@N00/3322046763
f0105	Plantain	by-sa-3.0	Daegis	https://upload.wikimedia.org/wikipedia/commons/5/57/Plantains.jpg	https://commons.wikimedia.org/w/index.php?curid=5215401
f0106	Popcorn	by-2.0	Vegan Feast Catering	https://live.staticflickr.com/2742/4057737488_0aefb6a117_b.jpg	https://www.flickr.com/photos/25128194@N02/4057737488
f0107	Potato	by-2.0	OiMax	https://live.staticflickr.com/136/340933520_6a76d5405f_b.jpg	https://www.flickr.com/photos/72396314@N00/340933520
f0108	Potato, baked	by-2.0	OiMax	https://live.staticflickr.com/136/340933520_6a76d5405f_b.jpg	https://www.flickr.com/photos/72396314@N00/340933520
f0109	Quinoa	by-sa-3.0	User:Niedereschbach	https://upload.wikimedia.org/wikipedia/commons/8/8b/Quinoa-cornflakes.jpg	https://commons.wikimedia.org/w/index.php?curid=24317412
f0110	Rye bread	by-sa-3.0	Glane23	https://upload.wikimedia.org/wikipedia/commons/3/3f/Dark_rye_bread.JPG	https://commons.wikimedia.org/w/index.php?curid=4686074
f0111	Sourdough bread	by-2.0	victoriachan	https://live.staticflickr.com/6015/5941344510_55acf2f388_b.jpg	https://www.flickr.com/photos/50646140@N00/5941344510
f0112	Sweet potato	by-2.0	evoo73	https://live.staticflickr.com/6159/6142345333_47b1ec88fa_b.jpg	https://www.flickr.com/photos/21761329@N03/6142345333
f0113	Wheat flour	cc0-1.0	congerdesign	https://upload.wikimedia.org/wikipedia/commons/9/9a/Wheat_flour_01.jpg	https://commons.wikimedia.org/w/index.php?curid=70950081
f0114	White bread	by-2.0	Evan Swigart from Chicago, USA	https://upload.wikimedia.org/wikipedia/commons/b/b0/Homemade_White_Bread_with_Strawberry_Jam.jpg	https://commons.wikimedia.org/w/index.php?curid=11626953
f0115	White rice	by-sa-4.0	Peachyeung316	https://upload.wikimedia.org/wikipedia/commons/3/3b/White_rice_at_home.jpg	https://commons.wikimedia.org/w/index.php?curid=95408880
f0116	Whole wheat bread	by-sa-2.0	Veganbaking.net	https://upload.wikimedia.org/wikipedia/commons/4/46/Vegan_no-knead_whole_wheat_bread_loaf%2C_September_2010.jpg	https://commons.wikimedia.org/w/index.php?curid=20031188
f0117	Whole wheat pasta	by-sa-2.0	raincrystal	https://live.staticflickr.com/2247/2109174355_ff745d43d5_b.jpg	https://www.flickr.com/photos/79491776@N00/2109174355
f0118	Artichoke	by-2.0	Muffet	https://live.staticflickr.com/3010/5864606460_51f1637f2b_b.jpg	https://www.flickr.com/photos/53133240@N00/5864606460
f0119	Arugula	by-2.0	dollen	https://live.staticflickr.com/8353/8342455245_050694585c.jpg	https://www.flickr.com/photos/39804614253@N01/8342455245
